Ano,Mês,Soma de Valor,População
2003,Abr,6739,6012069
2003,Ago,6262,6012069
2003,Dez,6832,6012069
2003,Fev,7130,6012069
2003,Jan,6909,6012069
2003,Jul,6354,6012069
2003,Jun,6343,6012069
2003,Mai,7374,6012069
2003,Mar,6579,6012069
2003,Nov,6423,6012069
2003,Out,6863,6012069
2003,Set,6604,6012069
2004,Abr,6716,6057933
2004,Ago,5520,6057933
2004,Dez,6289,6057933
2004,Fev,6168,6057933
2004,Jan,6630,6057933
2004,Jul,6433,6057933
2004,Jun,6449,6057933
2004,Mai,6694,6057933
2004,Mar,7252,6057933
2004,Nov,5931,6057933
2004,Out,5853,6057933
2004,Set,5699,6057933
2005,Abr,6880,6104147
2005,Ago,6495,6104147
2005,Dez,6147,6104147
2005,Fev,6158,6104147
2005,Jan,6044,6104147
2005,Jul,6290,6104147
2005,Jun,6579,6104147
2005,Mai,7031,6104147
2005,Mar,7035,6104147
2005,Nov,6167,6104147
2005,Out,6312,6104147
2005,Set,5846,6104147
2006,Abr,7109,6150714
2006,Ago,6671,6150714
2006,Dez,6999,6150714
2006,Fev,6301,6150714
2006,Jan,5952,6150714
2006,Jul,6596,6150714
2006,Jun,6667,6150714
2006,Mai,7504,6150714
2006,Mar,6494,6150714
2006,Nov,7393,6150714
2006,Out,7488,6150714
2006,Set,6744,6150714
2007,Abr,7532,6197637
2007,Ago,7457,6197637
2007,Dez,7611,6197637
2007,Fev,6658,6197637
2007,Jan,7161,6197637
2007,Jul,6768,6197637
2007,Jun,7417,6197637
2007,Mai,8008,6197637
2007,Mar,8417,6197637
2007,Nov,7379,6197637
2007,Out,7539,6197637
2007,Set,7246,6197637
2008,Abr,7011,6244917
2008,Ago,7406,6244917
2008,Dez,7301,6244917
2008,Fev,7201,6244917
2008,Jan,7813,6244917
2008,Jul,7502,6244917
2008,Jun,6961,6244917
2008,Mai,7112,6244917
2008,Mar,7137,6244917
2008,Nov,7070,6244917
2008,Out,8079,6244917
2008,Set,7313,6244917
2009,Abr,7361,6291020
2009,Ago,6426,6291020
2009,Dez,6190,6291020
2009,Fev,7558,6291020
2009,Jan,7512,6291020
2009,Jul,6908,6291020
2009,Jun,7160,6291020
