Ano,Mês1,Valor,População
2003,1,6909,6012069
2004,1,6630,6057933
2005,1,6044,6104147
2006,1,5952,6150714
2007,1,7161,6197637
2008,1,7813,6244917
2009,1,7512,6291020
2010,1,6199,6336534
2011,1,5221,6370271
2012,1,4505,6406820
2013,1,4482,6439828
2014,1,6859,6463250
2015,1,7740,6485889
2016,1,8191,6501393
2017,1,7240,6591928
2018,1,11192,6709314
2019,1,9806,6749649
2020,1,8410,6789290
2021,1,6111,6794785
2022,1,5015,6772682
2023,1,4552,0
2003,2,7130,6012069
2004,2,6168,6057933
2005,2,6158,6104147
2006,2,6301,6150714
2007,2,6658,6197637
2008,2,7201,6244917
2009,2,7558,6291020
2010,2,6114,6336534
2011,2,5126,6370271
2012,2,4966,6406820
2013,2,4549,6439828
2014,2,6539,6463250
2015,2,7304,6485889
2016,2,8523,6501393
2017,2,5423,6591928
2018,2,10820,6709314
2019,2,9536,6749649
2020,2,7916,6789290
2021,2,6007,6794785
2022,2,4811,6772682
2023,2,4369,0
2003,3,6579,6012069
2004,3,7252,6057933
2005,3,7035,6104147
2006,3,6494,6150714
2007,3,8417,6197637
2008,3,7137,6244917
2009,3,8272,6291020
2010,3,7190,6336534
2011,3,5437,6370271
2012,3,5078,6406820
2013,3,4897,6439828
2014,3,7017,6463250
2015,3,7341,6485889
2016,3,8124,6501393
2017,3,11976,6591928
2018,3,11076,6709314
2019,3,10413,6749649
2020,3,6537,6789290
2021,3,5913,6794785
2022,3,5599,6772682
2023,3,5119,0
2003,4,6739,6012069
2004,4,6716,6057933
2005,4,6880,6104147
2006,4,7109,6150714
2007,4,7532,6197637
2008,4,7011,6244917
2009,4,7361,6291020
2010,4,6405,6336534
2011,4,5055,6370271
2012,4,4810,6406820
2013,4,4852,6439828
2014,4,6796,6463250
2015,4,6712,6485889
2016,4,7759,6501393
2017,4,12087,6591928
2018,4,10188,6709314
2019,4,9626,6749649
2020,4,4158,6789290
2021,4,5182,6794785
2022,4,5432,6772682
2023,4,4565,0
2003,5,7374,6012069
2004,5,6694,6057933
2005,5,7031,6104147
2006,5,7504,6150714
2007,5,8008,6197637
2008,5,7112,6244917
2009,5,7724,6291020
2010,5,6253,6336534
2011,5,5044,6370271
2012,5,5087,6406820
2013,5,5230,6439828
2014,5,6677,6463250
2015,5,6793,6485889
2016,5,8240,6501393
2017,5,11801,6591928
2018,5,10441,6709314
2019,5,9570,6749649
2020,5,3747,6789290
2021,5,5214,6794785
2022,5,5257,6772682
2023,5,4981,0
2003,6,6343,6012069
2004,6,6449,6057933
2005,6,6579,6104147
2006,6,6667,6150714
2007,6,7417,6197637
2008,6,6961,6244917
2009,6,7160,6291020
2010,6,5829,6336534
2011,6,4751,6370271
2012,6,4556,6406820
2013,6,4838,6439828
2014,6,6084,6463250
2015,6,6181,6485889
2016,6,8446,6501393
2017,6,11148,6591928
2018,6,9779,6709314
2019,6,7781,6749649
2020,6,3920,6789290
2021,6,5021,6794785
2022,6,5272,6772682
2023,6,4193,0
2003,7,6354,6012069
2004,7,6433,6057933
2005,7,6290,6104147
2006,7,6596,6150714
2007,7,6768,6197637
2008,7,7502,6244917
2009,7,6908,6291020
2010,7,5791,6336534
2011,7,4959,6370271
2012,7,4519,6406820
2013,7,5009,6439828
2014,7,6558,6463250
2015,7,6156,6485889
2016,7,8233,6501393
2017,7,11811,6591928
2018,7,9306,6709314
2019,7,8461,6749649
2020,7,5167,6789290
2021,7,5355,6794785
2022,7,5383,6772682
2023,7,3676,0
2003,8,6262,6012069
2004,8,5520,6057933
2005,8,6495,6104147
2006,8,6671,6150714
2007,8,7457,6197637
2008,8,7406,6244917
2009,8,6426,6291020
2010,8,5617,6336534
2011,8,5041,6370271
2012,8,4526,6406820
2013,8,5638,6439828
2014,8,5970,6463250
2015,8,6100,6485889
2016,8,8117,6501393
2017,8,11110,6591928
2018,8,9677,6709314
2019,8,8361,6749649
2020,8,4729,6789290
2021,8,5123,6794785
2022,8,5340,6772682
2023,8,4157,0
